CouncilArea,Postcode,Regionname,Bedroom2,Bathroom,Car,Propertycount,Landsize,Distance,Lattitude,Longtitude
Hume City Council,3060.0,Northern Metropolitan,3.0,2.0,1.0,5070.0,512.0,13.1,-37.70687,144.97027
Hume City Council,3060.0,Northern Metropolitan,3.0,1.0,1.0,5070.0,593.0,13.1,-37.69688,144.96777
Knox City Council,3156.0,Eastern Metropolitan,3.0,1.0,1.0,10788.0,737.0,24.8,-37.888220000000004,145.27418
Yarra City Council,3065.0,Northern Metropolitan,2.0,2.0,1.0,5825.0,4580.0,2.1,-37.797959999999996,144.98371
Yarra City Council,3065.0,Northern Metropolitan,3.0,1.0,2.0,5825.0,512.0,2.1,-37.80696302719972,144.99671101938742
Yarra City Council,3065.0,Northern Metropolitan,3.0,1.0,2.0,5825.0,512.0,2.1,-37.80696302719972,144.99671101938742
Moreland City Council,3068.0,Northern Metropolitan,3.0,1.0,2.0,6244.0,512.0,3.6,-37.80696302719972,144.99671101938742
Moreland City Council,3068.0,Northern Metropolitan,3.0,1.0,0.0,6244.0,512.0,3.6,-37.78245,144.9817
Moreland City Council,3068.0,Northern Metropolitan,2.0,2.0,2.0,6244.0,512.0,3.6,-37.78374,144.98202
Moreland City Council,3068.0,Northern Metropolitan,3.0,1.0,2.0,6244.0,512.0,3.6,-37.80696302719972,144.99671101938742
Melbourne City Council,3031.0,Northern Metropolitan,3.0,1.0,2.0,3593.0,512.0,3.4,-37.80696302719972,144.99671101938742
Maribyrnong City Council,3011.0,Western Metropolitan,3.0,1.0,2.0,7570.0,512.0,5.1,-37.80696302719972,144.99671101938742
Maribyrnong City Council,3011.0,Western Metropolitan,6.0,2.0,2.0,7570.0,512.0,5.1,-37.795590000000004,144.90008
Maribyrnong City Council,3011.0,Western Metropolitan,3.0,2.0,1.0,7570.0,512.0,5.1,-37.79745,144.89122
Frankston City Council,3199.0,South-Eastern Metropolitan,4.0,2.0,2.0,17055.0,884.0,38.0,-38.169270000000004,145.15823999999998
Frankston City Council,3199.0,South-Eastern Metropolitan,5.0,3.0,2.0,17055.0,925.0,38.0,-38.14774,145.14612
Frankston City Council,3199.0,South-Eastern Metropolitan,3.0,1.0,2.0,17055.0,512.0,38.0,-37.80696302719972,144.99671101938742
Frankston City Council,3199.0,South-Eastern Metropolitan,3.0,2.0,2.0,17055.0,512.0,38.0,-38.160309999999996,145.15237
Frankston City Council,3199.0,South-Eastern Metropolitan,4.0,1.0,4.0,17055.0,544.0,38.0,-38.147859999999994,145.15436
Frankston City Council,3199.0,South-Eastern Metropolitan,3.0,1.0,1.0,17055.0,651.0,38.0,-38.16446,145.15503
Frankston City Council,3199.0,South-Eastern Metropolitan,3.0,2.0,3.0,17055.0,656.0,38.0,-38.16625,145.15266
Frankston City Council,3199.0,South-Eastern Metropolitan,2.0,1.0,4.0,17055.0,586.0,38.0,-38.13262,145.13457
Frankston City Council,3199.0,South-Eastern Metropolitan,4.0,2.0,3.0,17055.0,512.0,38.0,-38.1639,145.14506
Frankston City Council,3199.0,South-Eastern Metropolitan,3.0,1.0,1.0,17055.0,512.0,38.0,-38.151790000000005,145.12337
Frankston City Council,3199.0,South-Eastern Metropolitan,3.0,1.0,2.0,17055.0,512.0,38.0,-37.80696302719972,144.99671101938742
Frankston City Council,3199.0,South-Eastern Metropolitan,4.0,3.0,3.0,17055.0,632.0,38.0,-38.15529,145.11953
Frankston City Council,3199.0,South-Eastern Metropolitan,3.0,2.0,2.0,7566.0,604.0,38.0,-38.161640000000006,145.10777
Frankston City Council,3199.0,South-Eastern Metropolitan,3.0,1.0,2.0,7566.0,512.0,38.0,-38.163709999999995,145.13384
Macedon Ranges Shire Council,3437.0,Northern Victoria,3.0,2.0,3.0,3376.0,934.0,45.9,-37.49666,144.59455
Macedon Ranges Shire Council,3437.0,Northern Victoria,3.0,1.0,2.0,3376.0,512.0,45.9,-37.80696302719972,144.99671101938742
Macedon Ranges Shire Council,3437.0,Northern Victoria,3.0,1.0,2.0,3376.0,512.0,45.9,-37.80696302719972,144.99671101938742
Hume City Council,3043.0,Western Metropolitan,3.0,2.0,3.0,3285.0,530.0,12.9,-37.69822,144.89216000000002
Hume City Council,3043.0,Western Metropolitan,3.0,3.0,2.0,3285.0,343.0,12.9,-37.68959,144.88768000000002
Boroondara City Council,3146.0,Southern Metropolitan,3.0,1.0,2.0,10412.0,512.0,7.3,-37.80696302719972,144.99671101938742
Boroondara City Council,3146.0,Southern Metropolitan,6.0,3.0,2.0,10412.0,512.0,7.3,-37.84775,145.04948000000002
Boroondara City Council,3146.0,Southern Metropolitan,4.0,3.0,2.0,10412.0,361.0,7.3,-37.85135,145.06835
Monash City Council,3150.0,Eastern Metropolitan,6.0,4.0,2.0,15321.0,512.0,16.7,-37.88195,145.15995
Moreland City Council,3046.0,Northern Metropolitan,3.0,1.0,2.0,8870.0,512.0,11.2,-37.80696302719972,144.99671101938742
Moreland City Council,3046.0,Northern Metropolitan,2.0,1.0,2.0,8870.0,202.0,11.2,-37.70017,144.92648
Moreland City Council,3046.0,Northern Metropolitan,2.0,1.0,2.0,8870.0,664.0,11.2,-37.69592,144.93268999999998
Moreland City Council,3046.0,Northern Metropolitan,2.0,1.0,4.0,8870.0,626.0,11.2,-37.69617,144.91879
Moreland City Council,3046.0,Northern Metropolitan,2.0,1.0,2.0,8870.0,1011.0,11.2,-37.7079,144.91093999999998
Moreland City Council,3046.0,Northern Metropolitan,3.0,1.0,2.0,8870.0,687.0,11.2,-37.69704,144.93787
Moreland City Council,3046.0,Northern Metropolitan,3.0,1.0,2.0,8870.0,512.0,11.2,-37.80696302719972,144.99671101938742
Moreland City Council,3046.0,Northern Metropolitan,4.0,1.0,4.0,8870.0,660.0,11.2,-37.71031,144.90403999999998
Moreland City Council,3046.0,Northern Metropolitan,3.0,1.0,2.0,8870.0,512.0,11.2,-37.80696302719972,144.99671101938742
Moreland City Council,3046.0,Northern Metropolitan,2.0,1.0,5.0,8870.0,802.0,11.2,-37.70494,144.91073
Moreland City Council,3043.0,Western Metropolitan,3.0,2.0,4.0,1071.0,371.0,12.9,-37.70212,144.90104
Moreland City Council,3043.0,Western Metropolitan,3.0,2.0,2.0,1071.0,256.0,12.9,-37.702020000000005,144.89983
Moreland City Council,3043.0,Western Metropolitan,4.0,2.0,4.0,1071.0,750.0,12.9,-37.70486,144.9007
Banyule City Council,3088.0,Northern Metropolitan,3.0,1.0,1.0,8524.0,512.0,16.1,-37.70127,145.09632
Banyule City Council,3088.0,Northern Metropolitan,3.0,1.0,1.0,8524.0,512.0,16.1,-37.690670000000004,145.09184
Banyule City Council,3088.0,Northern Metropolitan,3.0,1.0,1.0,8524.0,512.0,16.1,-37.71155,145.10385
Banyule City Council,3088.0,Northern Metropolitan,3.0,2.0,2.0,8524.0,512.0,16.1,-37.70189,145.09702
Banyule City Council,3088.0,Northern Metropolitan,3.0,1.0,1.0,8524.0,512.0,16.1,-37.70199,145.11438
Banyule City Council,3088.0,Northern Metropolitan,4.0,2.0,2.0,8524.0,775.0,16.1,-37.709,145.10871
Banyule City Council,3088.0,Northern Metropolitan,3.0,1.0,2.0,8524.0,576.0,16.1,-37.68971,145.09736
Banyule City Council,3088.0,Northern Metropolitan,3.0,2.0,1.0,8524.0,512.0,16.1,-37.71887,145.10034
Banyule City Council,3088.0,Northern Metropolitan,3.0,1.0,2.0,8524.0,512.0,16.1,-37.80696302719972,144.99671101938742
Hume City Council,3059.0,Northern Metropolitan,4.0,2.0,2.0,4864.0,512.0,20.4,-37.64325,144.8915
Hume City Council,3059.0,Northern Metropolitan,3.0,2.0,2.0,4864.0,512.0,20.4,-37.65019,144.90236000000002
Hume City Council,3059.0,Northern Metropolitan,6.0,2.0,6.0,4864.0,4046.0,20.4,-37.64857,144.88562
Hume City Council,3059.0,Northern Metropolitan,3.0,2.0,2.0,4864.0,512.0,20.4,-37.613409999999995,144.88702
Hume City Council,3059.0,Northern Metropolitan,4.0,2.0,2.0,4864.0,652.0,20.4,-37.64374,144.88918999999999
Hume City Council,3059.0,Northern Metropolitan,4.0,3.0,2.0,4864.0,566.0,20.4,-37.61063,144.90826
Moreland City Council,3046.0,Northern Metropolitan,3.0,1.0,3.0,2606.0,512.0,11.2,-37.70725,144.94942
Moreland City Council,3046.0,Northern Metropolitan,3.0,2.0,2.0,2606.0,543.0,11.2,-37.71329,144.93702
Bayside City Council,3188.0,Southern Metropolitan,3.0,2.0,4.0,5454.0,512.0,13.8,-37.939820000000005,144.9999
Bayside City Council,3188.0,Southern Metropolitan,3.0,1.0,2.0,5454.0,512.0,13.8,-37.80696302719972,144.99671101938742
Bayside City Council,3188.0,Southern Metropolitan,3.0,2.0,2.0,5454.0,8113.0,13.8,-37.93462,145.00807
Bayside City Council,3188.0,Southern Metropolitan,3.0,1.0,1.0,5454.0,512.0,13.8,-37.932109999999994,145.01375
Bayside City Council,3188.0,Southern Metropolitan,3.0,1.0,2.0,5454.0,512.0,13.8,-37.80696302719972,144.99671101938742
Bayside City Council,3188.0,Southern Metropolitan,4.0,1.0,2.0,2356.0,592.0,13.8,-37.941629999999996,145.03537
Boroondara City Council,3122.0,Southern Metropolitan,3.0,1.0,2.0,11308.0,512.0,5.3,-37.80696302719972,144.99671101938742
Boroondara City Council,3122.0,Southern Metropolitan,3.0,1.0,2.0,11308.0,512.0,5.3,-37.80696302719972,144.99671101938742
Boroondara City Council,3122.0,Southern Metropolitan,4.0,2.0,2.0,11308.0,578.0,5.3,-37.81796,145.01836
Boroondara City Council,3122.0,Southern Metropolitan,3.0,1.0,2.0,11308.0,512.0,5.3,-37.80696302719972,144.99671101938742
Boroondara City Council,3122.0,Southern Metropolitan,3.0,1.0,2.0,11308.0,512.0,5.3,-37.80696302719972,144.99671101938742
Boroondara City Council,3122.0,Southern Metropolitan,3.0,1.0,2.0,11308.0,512.0,5.3,-37.80696302719972,144.99671101938742
Boroondara City Council,3123.0,Southern Metropolitan,3.0,1.0,2.0,6482.0,512.0,6.2,-37.80696302719972,144.99671101938742
Boroondara City Council,3123.0,Southern Metropolitan,3.0,1.0,2.0,6482.0,512.0,6.2,-37.80696302719972,144.99671101938742
Boroondara City Council,3123.0,Southern Metropolitan,3.0,1.0,2.0,6482.0,512.0,6.2,-37.80696302719972,144.99671101938742
Maroondah City Council,3135.0,Eastern Metropolitan,3.0,1.0,2.0,3794.0,828.0,21.3,-37.82776,145.239
Banyule City Council,3081.0,Eastern Metropolitan,2.0,1.0,2.0,2947.0,512.0,8.8,-37.73746,145.05172
Banyule City Council,3081.0,Eastern Metropolitan,3.0,1.0,2.0,2947.0,512.0,8.8,-37.80696302719972,144.99671101938742
Banyule City Council,3081.0,Eastern Metropolitan,3.0,1.0,2.0,2947.0,512.0,8.8,-37.80696302719972,144.99671101938742
Banyule City Council,3081.0,Eastern Metropolitan,2.0,1.0,1.0,2947.0,512.0,8.8,-37.738890000000005,145.05441000000002
Banyule City Council,3081.0,Eastern Metropolitan,3.0,1.0,2.0,2674.0,512.0,8.8,-37.80696302719972,144.99671101938742
Banyule City Council,3081.0,Eastern Metropolitan,2.0,1.0,1.0,2674.0,512.0,8.8,-37.73427,145.0404
Bayside City Council,3190.0,Southern Metropolitan,3.0,2.0,2.0,4794.0,728.0,16.0,-37.94938,145.03099
Bayside City Council,3190.0,Southern Metropolitan,3.0,1.0,2.0,4794.0,512.0,16.0,-37.80696302719972,144.99671101938742
Brimbank City Council,3037.0,Western Metropolitan,4.0,2.0,2.0,5556.0,651.0,18.0,-37.69477,144.75519
Brimbank City Council,3037.0,Western Metropolitan,3.0,1.0,2.0,5556.0,512.0,18.0,-37.80696302719972,144.99671101938742
Brimbank City Council,3037.0,Western Metropolitan,5.0,2.0,2.0,5556.0,727.0,18.0,-37.68359,144.74067
Brimbank City Council,3037.0,Western Metropolitan,4.0,3.0,2.0,5556.0,512.0,18.0,-37.690090000000005,144.73238
Brimbank City Council,3037.0,Western Metropolitan,4.0,2.0,2.0,5556.0,512.0,18.0,-37.69806,144.73387
Wyndham City Council,3029.0,Western Metropolitan,3.0,1.0,1.0,13830.0,512.0,18.4,-37.873020000000004,144.70018000000002
Wyndham City Council,3029.0,Western Metropolitan,3.0,1.0,1.0,13830.0,552.0,18.4,-37.87401,144.69803000000002
Wyndham City Council,3029.0,Western Metropolitan,3.0,1.0,2.0,13830.0,512.0,18.4,-37.8724,144.67915
Wyndham City Council,3029.0,Western Metropolitan,3.0,2.0,1.0,13830.0,309.0,18.4,-37.854820000000004,144.67653
Wyndham City Council,3029.0,Western Metropolitan,3.0,2.0,2.0,13830.0,512.0,18.4,-37.85461,144.67192
Wyndham City Council,3029.0,Western Metropolitan,4.0,2.0,2.0,13830.0,670.0,18.4,-37.879979999999996,144.68516
Banyule City Council,3079.0,Eastern Metropolitan,4.0,2.0,3.0,5549.0,414.0,7.8,-37.757220000000004,145.04399999999998
Banyule City Council,3079.0,Eastern Metropolitan,3.0,1.0,2.0,5549.0,512.0,7.8,-37.80696302719972,144.99671101938742
Banyule City Council,3079.0,Eastern Metropolitan,2.0,1.0,1.0,5549.0,557.0,7.8,-37.76003,145.04818
Banyule City Council,3079.0,Eastern Metropolitan,3.0,2.0,1.0,5549.0,512.0,7.8,-37.76319,145.03873000000002
Banyule City Council,3079.0,Eastern Metropolitan,2.0,1.0,2.0,1554.0,512.0,7.8,-37.77329,145.05361000000002
Hume City Council,3047.0,Northern Metropolitan,3.0,1.0,1.0,851.0,316.0,14.0,-37.69025,144.91467
Brimbank City Council,3038.0,Western Metropolitan,3.0,2.0,4.0,3656.0,652.0,15.5,-37.72573,144.81718999999998
Brimbank City Council,3038.0,Western Metropolitan,3.0,2.0,1.0,3656.0,512.0,15.5,-37.71622,144.80572
Brimbank City Council,3038.0,Western Metropolitan,4.0,2.0,1.0,3656.0,512.0,15.5,-37.72467,144.81171
Brimbank City Council,3033.0,Western Metropolitan,6.0,3.0,2.0,5629.0,637.0,11.7,-37.72912,144.8655
Brimbank City Council,3033.0,Western Metropolitan,2.0,1.0,1.0,5629.0,512.0,11.7,-37.74107,144.855
Brimbank City Council,3033.0,Western Metropolitan,4.0,2.0,2.0,5629.0,564.0,11.7,-37.73288,144.87252
Brimbank City Council,3033.0,Western Metropolitan,3.0,1.0,2.0,5629.0,512.0,11.7,-37.74499,144.85384
Brimbank City Council,3033.0,Western Metropolitan,3.0,2.0,1.0,5629.0,677.0,11.7,-37.7301,144.86685
Brimbank City Council,3042.0,Western Metropolitan,5.0,2.0,2.0,1119.0,512.0,10.4,-37.7209,144.85727
Melbourne City Council,3031.0,Northern Metropolitan,3.0,1.0,2.0,5263.0,512.0,3.4,-37.80696302719972,144.99671101938742
Boroondara City Council,3101.0,Southern Metropolitan,3.0,3.0,2.0,10331.0,512.0,5.4,-37.80701,145.05453
Boroondara City Council,3101.0,Southern Metropolitan,3.0,1.0,2.0,10331.0,512.0,5.4,-37.80696302719972,144.99671101938742
Boroondara City Council,3102.0,Southern Metropolitan,5.0,2.0,3.0,2671.0,650.0,7.3,-37.79246,145.04236
Boroondara City Council,3102.0,Southern Metropolitan,3.0,1.0,2.0,2671.0,579.0,7.3,-37.7966,145.06022
Boroondara City Council,3102.0,Southern Metropolitan,3.0,1.0,2.0,2671.0,512.0,7.3,-37.80696302719972,144.99671101938742
Greater Dandenong City Council,3173.0,South-Eastern Metropolitan,3.0,1.0,2.0,8459.0,539.0,25.2,-37.99054,145.1607
Greater Dandenong City Council,3173.0,South-Eastern Metropolitan,3.0,1.0,2.0,8459.0,569.0,25.2,-37.98433,145.15347
Maroondah City Council,3137.0,Eastern Metropolitan,2.0,1.0,1.0,4654.0,906.0,26.0,-37.80065,145.30393
Brimbank City Council,3021.0,Western Metropolitan,4.0,2.0,2.0,2878.0,576.0,14.0,-37.729420000000005,144.7759
Brimbank City Council,3021.0,Western Metropolitan,5.0,2.0,3.0,2878.0,512.0,14.0,-37.73579,144.7634
Darebin City Council,3083.0,Northern Metropolitan,3.0,1.0,2.0,1414.0,512.0,12.1,-37.80696302719972,144.99671101938742
Maribyrnong City Council,3012.0,Western Metropolitan,3.0,1.0,2.0,1808.0,512.0,6.4,-37.80777,144.88121
Maribyrnong City Council,3012.0,Western Metropolitan,3.0,2.0,1.0,1808.0,275.0,6.4,-37.806259999999995,144.88199
Melton City Council,3337.0,Northern Victoria,4.0,2.0,2.0,3553.0,807.0,31.7,-37.65765,144.59515
Melton City Council,3337.0,Northern Victoria,3.0,2.0,2.0,3553.0,512.0,31.7,-37.6698,144.5945
Whittlesea City Council,3075.0,Northern Metropolitan,3.0,1.0,1.0,8279.0,655.0,16.3,-37.67411,145.02015
Whittlesea City Council,3075.0,Northern Metropolitan,3.0,1.0,2.0,8279.0,554.0,16.3,-37.67559,145.03828000000001
Whittlesea City Council,3075.0,Northern Metropolitan,3.0,2.0,2.0,8279.0,395.0,16.3,-37.66503,144.99266
Whittlesea City Council,3075.0,Northern Metropolitan,4.0,1.0,3.0,8279.0,543.0,16.3,-37.66557,145.00236
Whittlesea City Council,3075.0,Northern Metropolitan,3.0,1.0,1.0,8279.0,535.0,16.3,-37.66301,145.02104
Frankston City Council,3910.0,Eastern Victoria,4.0,2.0,2.0,8743.0,657.0,41.0,-38.14025,145.2089
Frankston City Council,3910.0,Eastern Victoria,3.0,2.0,1.0,8743.0,10120.0,41.0,-38.1388,145.21485
Banyule City Council,3093.0,Eastern Metropolitan,3.0,1.0,2.0,1624.0,512.0,14.6,-37.80696302719972,144.99671101938742
Banyule City Council,3085.0,Northern Metropolitan,3.0,1.0,2.0,4168.0,512.0,12.7,-37.80696302719972,144.99671101938742
Banyule City Council,3085.0,Northern Metropolitan,3.0,1.0,2.0,4168.0,512.0,12.7,-37.80696302719972,144.99671101938742
Banyule City Council,3085.0,Northern Metropolitan,3.0,1.0,2.0,4168.0,512.0,12.7,-37.80696302719972,144.99671101938742
Maribyrnong City Council,3012.0,Western Metropolitan,3.0,1.0,2.0,3873.0,512.0,6.4,-37.80696302719972,144.99671101938742
Maribyrnong City Council,3012.0,Western Metropolitan,3.0,2.0,2.0,3873.0,512.0,6.4,-37.77836,144.88097
Maribyrnong City Council,3012.0,Western Metropolitan,3.0,2.0,2.0,3873.0,158.0,6.4,-37.78459,144.86989
Maribyrnong City Council,3012.0,Western Metropolitan,3.0,1.0,2.0,3873.0,327.0,6.4,-37.79034,144.87916
Stonnington City Council,3144.0,Southern Metropolitan,3.0,1.0,2.0,4675.0,512.0,5.9,-37.80696302719972,144.99671101938742
Stonnington City Council,3144.0,Southern Metropolitan,4.0,3.0,1.0,4675.0,522.0,5.9,-37.863609999999994,145.03063
Stonnington City Council,3145.0,Southern Metropolitan,3.0,1.0,2.0,8801.0,512.0,8.4,-37.80696302719972,144.99671101938742
Stonnington City Council,3145.0,Southern Metropolitan,4.0,5.0,2.0,8801.0,696.0,8.4,-37.88398,145.07493
Stonnington City Council,3145.0,Southern Metropolitan,3.0,1.0,2.0,8801.0,512.0,8.4,-37.80696302719972,144.99671101938742
Maribyrnong City Council,3032.0,Western Metropolitan,2.0,2.0,3.0,4918.0,696.0,4.3,-37.78045,144.88521
Maribyrnong City Council,3032.0,Western Metropolitan,3.0,1.0,2.0,4918.0,512.0,4.3,-37.80696302719972,144.99671101938742
Maribyrnong City Council,3032.0,Western Metropolitan,3.0,2.0,2.0,4918.0,512.0,4.3,-37.771809999999995,144.88152
Glen Eira City Council,3204.0,Southern Metropolitan,3.0,1.0,2.0,2397.0,512.0,11.4,-37.80696302719972,144.99671101938742
Glen Eira City Council,3204.0,Southern Metropolitan,4.0,2.0,2.0,2397.0,655.0,11.4,-37.90898,145.04629
Glen Eira City Council,3204.0,Southern Metropolitan,4.0,1.0,3.0,2397.0,620.0,11.4,-37.91187,145.04568
Melbourne City Council,3000.0,Northern Metropolitan,3.0,1.0,2.0,17496.0,512.0,0.0,-37.80696302719972,144.99671101938742
Melbourne City Council,3000.0,Northern Metropolitan,3.0,1.0,2.0,17496.0,512.0,0.0,-37.80696302719972,144.99671101938742
Melbourne City Council,3000.0,Northern Metropolitan,3.0,1.0,2.0,17496.0,512.0,0.0,-37.80696302719972,144.99671101938742
Melton City Council,3337.0,Western Victoria,3.0,1.0,2.0,3600.0,441.0,31.7,-37.67678,144.58337
Melton City Council,3338.0,Western Victoria,3.0,1.0,2.0,4718.0,512.0,29.8,-37.80696302719972,144.99671101938742
Melton City Council,3338.0,Western Victoria,3.0,1.0,1.0,4718.0,512.0,29.8,-37.69382,144.57419
Melton City Council,3337.0,Northern Victoria,3.0,2.0,4.0,6065.0,796.0,31.7,-37.67725,144.55421
Melton City Council,3337.0,Northern Victoria,3.0,2.0,2.0,6065.0,512.0,31.7,-37.675909999999995,144.55929
Kingston City Council,3194.0,South-Eastern Metropolitan,3.0,1.0,2.0,6162.0,512.0,20.0,-37.80696302719972,144.99671101938742
Kingston City Council,3194.0,South-Eastern Metropolitan,3.0,2.0,2.0,6162.0,512.0,20.0,-37.98002,145.08711
Kingston City Council,3194.0,South-Eastern Metropolitan,6.0,4.0,1.0,6162.0,845.0,20.0,-37.97745,145.06097
Whittlesea City Council,3754.0,Northern Metropolitan,4.0,3.0,4.0,5812.0,622.0,25.9,-37.59024,145.10626000000002
Whittlesea City Council,3754.0,Northern Metropolitan,4.0,2.0,2.0,5812.0,430.0,25.9,-37.605540000000005,145.07581000000002
Whittlesea City Council,3754.0,Northern Metropolitan,4.0,2.0,3.0,5812.0,512.0,25.9,-37.58696,145.09738000000002
Whittlesea City Council,3754.0,Northern Metropolitan,3.0,2.0,2.0,5812.0,512.0,25.9,-37.61549,145.10143
Whittlesea City Council,3754.0,Northern Metropolitan,3.0,2.0,2.0,5812.0,350.0,25.9,-37.59091,145.08332
Whittlesea City Council,3754.0,Northern Metropolitan,3.0,2.0,2.0,5812.0,512.0,25.9,-37.603,145.06892
Whittlesea City Council,3754.0,Northern Metropolitan,4.0,2.0,2.0,5812.0,592.0,25.9,-37.60865,145.09503999999998
Whittlesea City Council,3754.0,Northern Metropolitan,3.0,1.0,2.0,5812.0,512.0,25.9,-37.80696302719972,144.99671101938742
Whittlesea City Council,3754.0,Northern Metropolitan,3.0,2.0,2.0,5812.0,512.0,25.9,-37.612429999999996,145.09443000000002
Hume City Council,3064.0,Northern Metropolitan,5.0,3.0,8.0,1158.0,512.0,20.6,-37.55292,144.89573000000001
Whittlesea City Council,3082.0,Northern Metropolitan,3.0,1.0,2.0,10529.0,744.0,17.9,-37.67558,145.06452
Whittlesea City Council,3082.0,Northern Metropolitan,3.0,2.0,2.0,10529.0,512.0,17.9,-37.67208,145.0534
Whittlesea City Council,3082.0,Northern Metropolitan,4.0,2.0,2.0,10529.0,512.0,17.9,-37.65977,145.03857
Whittlesea City Council,3082.0,Northern Metropolitan,3.0,2.0,2.0,10529.0,624.0,17.9,-37.66209,145.0374
Whittlesea City Council,3082.0,Northern Metropolitan,3.0,1.0,2.0,10529.0,512.0,17.9,-37.67392,145.06747
Whittlesea City Council,3082.0,Northern Metropolitan,3.0,1.0,2.0,10529.0,512.0,17.9,-37.80696302719972,144.99671101938742
Whittlesea City Council,3082.0,Northern Metropolitan,3.0,1.0,2.0,10529.0,512.0,17.9,-37.65565,145.06452
Whittlesea City Council,3082.0,Northern Metropolitan,4.0,2.0,4.0,10529.0,390.0,17.9,-37.677279999999996,145.06699
Whittlesea City Council,3082.0,Northern Metropolitan,3.0,1.0,1.0,10529.0,629.0,17.9,-37.669340000000005,145.07038
Whittlesea City Council,3082.0,Northern Metropolitan,4.0,2.0,1.0,10529.0,597.0,17.9,-37.661429999999996,145.05798000000001
Whitehorse City Council,3132.0,Eastern Metropolitan,3.0,1.0,1.0,6871.0,697.0,17.2,-37.80604,145.19581000000002
Whitehorse City Council,3132.0,Eastern Metropolitan,3.0,1.0,2.0,6871.0,512.0,17.2,-37.80696302719972,144.99671101938742
Whitehorse City Council,3132.0,Eastern Metropolitan,3.0,1.0,2.0,6871.0,512.0,17.2,-37.80696302719972,144.99671101938742
Whitehorse City Council,3132.0,Eastern Metropolitan,3.0,2.0,2.0,6871.0,808.0,17.2,-37.81794,145.20695
Boroondara City Council,3127.0,Eastern Metropolitan,3.0,1.0,2.0,2079.0,512.0,10.2,-37.80696302719972,144.99671101938742
Boroondara City Council,3127.0,Eastern Metropolitan,4.0,2.0,2.0,2079.0,584.0,10.2,-37.82464,145.11231999999998
Banyule City Council,3094.0,Eastern Metropolitan,3.0,1.0,2.0,3891.0,512.0,16.2,-37.72582,145.13458
Banyule City Council,3094.0,Eastern Metropolitan,3.0,2.0,3.0,3891.0,512.0,16.2,-37.72903,145.13225
Moonee Valley City Council,3039.0,Western Metropolitan,3.0,1.0,2.0,6232.0,512.0,6.2,-37.80696302719972,144.99671101938742
Moonee Valley City Council,3039.0,Western Metropolitan,3.0,1.0,1.0,6232.0,349.0,6.2,-37.763040000000004,144.92831
Yarra Ranges Shire Council,3138.0,Eastern Victoria,4.0,2.0,2.0,8280.0,832.0,26.5,-37.77086,145.30497
Yarra Ranges Shire Council,3138.0,Eastern Victoria,4.0,2.0,4.0,8280.0,512.0,26.5,-37.77433,145.30559
Kingston City Council,3195.0,South-Eastern Metropolitan,3.0,1.0,2.0,3650.0,512.0,21.5,-37.80696302719972,144.99671101938742
Monash City Council,3149.0,Eastern Metropolitan,5.0,3.0,2.0,13366.0,512.0,14.2,-37.87335,145.12458999999998
Monash City Council,3149.0,Eastern Metropolitan,3.0,2.0,1.0,13366.0,512.0,14.2,-37.85965,145.11417
Monash City Council,3149.0,Eastern Metropolitan,2.0,2.0,1.0,13366.0,512.0,14.2,-37.87769,145.14362
Monash City Council,3149.0,Eastern Metropolitan,3.0,2.0,2.0,13366.0,512.0,14.2,-37.87979,145.11822
Monash City Council,3149.0,Eastern Metropolitan,3.0,1.0,2.0,13366.0,512.0,14.2,-37.80696302719972,144.99671101938742
Monash City Council,3149.0,Eastern Metropolitan,5.0,3.0,2.0,13366.0,512.0,14.2,-37.88042,145.1314
Monash City Council,3149.0,Eastern Metropolitan,3.0,1.0,2.0,13366.0,512.0,14.2,-37.80696302719972,144.99671101938742
Monash City Council,3170.0,South-Eastern Metropolitan,3.0,1.0,2.0,7113.0,714.0,18.8,-37.925540000000005,145.17268
Monash City Council,3170.0,South-Eastern Metropolitan,3.0,1.0,1.0,7113.0,650.0,18.8,-37.9226,145.16512
Glen Eira City Council,3163.0,Southern Metropolitan,3.0,1.0,2.0,4442.0,512.0,10.1,-37.80696302719972,144.99671101938742
Glen Eira City Council,3163.0,Southern Metropolitan,3.0,2.0,2.0,4442.0,763.0,10.1,-37.902190000000004,145.07453
Glen Eira City Council,3163.0,Southern Metropolitan,3.0,1.0,1.0,4442.0,840.0,10.1,-37.89074,145.07638
Glen Eira City Council,3163.0,Southern Metropolitan,3.0,1.0,1.0,4442.0,512.0,10.1,-37.90404,145.06618999999998
Macedon Ranges Shire Council,3438.0,Northern Victoria,3.0,2.0,2.0,849.0,850.0,48.1,-37.4639,144.60071000000002
Hobsons Bay City Council,3015.0,Western Metropolitan,3.0,1.0,2.0,5498.0,512.0,6.2,-37.80696302719972,144.99671101938742
Hobsons Bay City Council,3015.0,Western Metropolitan,2.0,1.0,2.0,5498.0,512.0,6.2,-37.8336,144.86747
Hobsons Bay City Council,3015.0,Western Metropolitan,3.0,1.0,2.0,5498.0,512.0,6.2,-37.80696302719972,144.99671101938742
Moonee Valley City Council,3042.0,Western Metropolitan,4.0,3.0,4.0,2291.0,711.0,10.4,-37.73644,144.87941
Greater Dandenong City Council,3174.0,South-Eastern Metropolitan,3.0,1.0,2.0,11806.0,879.0,22.7,-37.97707,145.1722
